Time [s], Analyzer Name, Decoded Protocol Result
1.798193070000000,Async Serial,'225' (0xE1)
1.798727570000000,Async Serial,'225' (0xE1)
1.812209010000000,Async Serial,'242' (0xF2)
1.812730030000000,Async Serial,'3' (0x03)
1.813251050000000,Async Serial,'3' (0x03)
1.813772080000000,Async Serial,'1' (0x01)
1.814293130000000,Async Serial,\t (0x09)
1.814814200000000,Async Serial,'0' (0x00)
1.815335270000000,Async Serial,'2' (0x02)
1.815856350000000,Async Serial,'4' (0x04)
1.816377400000000,Async Serial,'0' (0x00)
1.816898470000000,Async Serial,'1' (0x01)
1.817419480000000,Async Serial,'3' (0x03)
1.817940490000000,Async Serial,'1' (0x01)
1.818461510000000,Async Serial,@ (0x40)
1.818982540000000,Async Serial,'0' (0x00)
1.819503600000000,Async Serial,'209' (0xD1)
3.445200310000000,Async Serial,'227' (0xE3)
3.445754210000000,Async Serial,'3' (0x03)
3.446286210000000,Async Serial,'3' (0x03)
3.446818200000000,Async Serial,'1' (0x01)
3.447350200000000,Async Serial,\t (0x09)
3.447882210000000,Async Serial,'0' (0x00)
3.448414220000000,Async Serial,'2' (0x02)
3.448946230000000,Async Serial,'4' (0x04)
3.449478240000000,Async Serial,'0' (0x00)
3.450010240000000,Async Serial,'1' (0x01)
3.450542240000000,Async Serial,'3' (0x03)
3.451074240000000,Async Serial,'1' (0x01)
3.451606250000000,Async Serial,@ (0x40)
3.452138250000000,Async Serial,'0' (0x00)
3.471200130000000,Async Serial,'227' (0xE3)
3.471716330000000,Async Serial,'3' (0x03)
3.472248340000000,Async Serial,'3' (0x03)
3.472780360000000,Async Serial,'1' (0x01)
3.473312360000000,Async Serial,\t (0x09)
3.473844380000000,Async Serial,'0' (0x00)
3.474376400000000,Async Serial,'2' (0x02)
3.474908400000000,Async Serial,'4' (0x04)
3.475440420000000,Async Serial,'0' (0x00)
3.475972440000000,Async Serial,'1' (0x01)
3.476504440000000,Async Serial,'3' (0x03)
3.477036450000000,Async Serial,'1' (0x01)
3.477568460000000,Async Serial,@ (0x40)
3.478100470000000,Async Serial,'0' (0x00)
3.655180990000000,Async Serial,'225' (0xE1)
3.655740200000000,Async Serial,'225' (0xE1)
